"wot_key","Shop.y","service_group","wo_type","wot_status","status_duration","time_bucket","wot_description","Project","Activity","asset_id","tag_number","serial_id","asset_description","year_num","week_num","Unit","Work.Order","Task.No.","Sequence","PC.Bus.Unit","Business.Unit","Dependency","Removal.Task","To","Overlap","Duration.x","Asset.Up","Location","Status","Status.Dt.Tm","Required.Start","Start.Time","Scheduled.Start","Start.Time.1","Scheduled.End","End.Time","End","End.Time.1","Act..End.Dttm","Actual.Start","Start.Time.2","Actual.End","End.Time.2","Act..Start.Dttm","Passive.Proj.","Scheduler","Lead.Person","Closed.Dt","Completed.Date","Est..Labor.Cost","Es..Material.Co","Est..Tools.Cost","Est..PO.cost","Schedule.Labor","Material.Cost","Tools.Cost","Purchase.cost","Act..Labor.Cost","Actual.Cost","Act..Tools.Cost","Actual.Cost.1","Downtime.hours","Failure.Date","Rate","Recover.Cost","Name","Supplier","Supp.Cntct","Claim.ID","Problem.Group","Problem","Cause","Resolution","Action","Needs.Repair","Supervisor","Labor","Tools","Inventory","Purchase.OnHand","Requirement.Ln","Requirement.Ln.1","Requirement.Ln.2","Line.No","Requirement.Ln.3","Requirement.Ln.4","Requirement.Ln.5","Requirement.Ln.6","Alert","Chargeback","Rate.Select","Rate.Set","Ret.Type","Cap.Flag","Currency","Filter.ID","Min.Cap","Amount.to","Man.Close","Custodian","Component.of","ID","Dept","WO.Job.Tmplt","WO.Task.Tmplt","Commit.Rule","Status.1","Reserve.Rule","Status.2","Priority","Business.Unit.1","Shop.x","Crew","Area.ID","Type","Last.Sent","Last.Updated","Updated.By","Last.Updt","sched_start_duration","sched_start_month","sched_start_year","pc_bus_unit","Duration.y","asset_key"
"STAUS-724-22","PERTH","DRILL SUPP","PSTJB","PSCH",214,"6M-1Y","INCLINOMETER 10-36 / MINI TILT",220662,"7000","18219","AU0508","AU0508","INCLINOMETER 10-36 C/W MINI TILT (AU0536)",2023,30,"STAUS",724,22,220,"B0811","BUSTR",0,NA,0,0,1,NA,"AUS00014",1,2022-12-22,"24/11/2022","12:00:00.000000AM",2022-11-24,"12:00:00.000000AM","23/12/2022","11:59:00.000000PM","23/12/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","18/07/2023  5:53:00PM",242,11,2022,"B0811",1,"BUSTR-18219"
"STAUS-724-23","PERTH","DRILL SUPP","PSTJB","PSCH",214,"6M-1Y","MULTI PURPOSE CLEANING TOOL 10",220662,"7000","18292","SI0300","SI0300","MULTIPURPOSE CLEANING TOOL 10 IN",2023,30,"STAUS",724,23,230,"B0811","BUSTR",0,NA,0,0,1,NA,"APAC20",1,2022-12-22,"24/11/2022","12:00:00.000000AM",2022-11-24,"12:00:00.000000AM","23/12/2022","11:59:00.000000PM","23/12/2022","11:59:00.000000PM",NA,"","","","",NA,"",1,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","18/07/2023  5:53:00PM",242,11,2022,"B0811",1,"BUSTR-18292"
"STAUS-754-1","PERTH","CLIENTOWN","NEWBD","OPEN",203,"6M-1Y","Transfer Stab Plates and Coupler boxes from PW124 & PW125 on to a pallet in Workshop 1",221546,"5000",NA,NA,NA,NA,2023,30,"STAUS",754,1,10,"B0811","B0811",0,NA,0,0,2,NA,"",1,2023-01-02,"03/01/2023","12:00:00.000000AM",2023-01-03,"12:00:00.000000AM","04/01/2023","11:59:00.000000PM","04/01/2023","11:59:00.000000PM",NA,"","","","",NA,"",29,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"N","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",202,1,2023,"B0811",1,NA
"STAUS-768-1","PERTH","CLIENTOWN","PLAN","OPEN",194,"6M-1Y","204452 EPRS PFA Tensioners Level 2 PSM",204452,"8213",NA,NA,NA,NA,2023,30,"STAUS",768,1,10,"B0811","",0,NA,0,0,120,NA,"",1,2023-01-11,"09/06/2023","12:00:00.000000AM",2023-01-31,"12:00:00.000000AM","08/02/2023","11:59:00.000000PM","26/06/2023","11:59:00.000000PM",NA,"","","","",NA,"",21,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,3,3,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",174,1,2023,"B0811",120,NA
"STAUS-769-1","PERTH","CLIENTOWN","PLAN","OPEN",194,"6M-1Y","204452 EPRS PFA Electrical - JB's & LVDT's Level 2 PSM",204452,"8215",NA,NA,NA,NA,2023,30,"STAUS",769,1,10,"B0811","",0,NA,0,0,120,NA,"",1,2023-01-11,"25/07/2023","12:00:00.000000AM",2023-01-11,"12:00:00.000000AM","27/01/2023","11:59:00.000000PM","14/08/2023","11:59:00.000000PM",NA,"","","","",NA,"",21,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,3,7,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",194,1,2023,"B0811",128,NA
"STAUS-772-1","PERTH","DECOMM","PSTJB","OHWP",183,"90-6M","Recovery Clamps Post Job",222044,"7000","18776","AU0395","AU0395","1024 Pipe Lifter Clamp 990167718",2023,30,"STAUS",772,1,10,"B0811","BUSTR",0,NA,0,0,1.5,NA,"AUS00011",1,2023-01-22,"19/01/2023","12:00:00.000000AM",2023-01-19,"12:00:00.000000AM","20/01/2023","11:59:00.000000PM","20/01/2023","11:59:00.000000PM",NA,"23/01/2023"," 8:00:00.000000AM","24/01/2023"," 5:00:00.000000PM",NA,"",17,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,1,2,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",186,1,2023,"B0811",3,"BUSTR-18776"
"STAUS-772-2","PERTH","DECOMM","PSTJB","OHWP",183,"90-6M","Recovery Clamps Post Job",222044,"7000","18777","AU0396","AU0396","1024 Pipe Lifter Clamp 990167718",2023,30,"STAUS",772,2,20,"B0811","BUSTR",0,NA,0,0,1.5,NA,"AUS00011",1,2023-01-22,"19/01/2023","12:00:00.000000AM",2023-01-19,"12:00:00.000000AM","20/01/2023","11:59:00.000000PM","20/01/2023","11:59:00.000000PM",NA,"18/01/2023"," 8:00:00.000000AM","24/01/2023"," 5:00:00.000000PM",NA,"",17,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,1,3,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",186,1,2023,"B0811",3,"BUSTR-18777"
"STAUS-786-1","PERTH","CLIENTOWN","PLAN","OPEN",178,"90-6M","FBS Contingency Tool Level 2 PSM",204452,"8218",NA,NA,NA,NA,2023,30,"STAUS",786,1,10,"B0811","",0,NA,0,0,40,NA,"",1,2023-01-27,"06/09/2023","12:00:00.000000AM",2023-01-27,"12:00:00.000000AM","03/02/2023"," 8:00:00.000000PM","12/09/2023"," 8:00:00.000000PM",NA,"","","","",NA,"",25,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,3,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",178,1,2023,"B0811",40,NA
"STAUS-787-1","PERTH","CLIENTOWN","PLAN","OPEN",178,"90-6M","ROV IS Spare CP & IVP Level 2 PSM",204452,"8204",NA,NA,NA,NA,2023,30,"STAUS",787,1,10,"B0811","",0,NA,0,0,48,NA,"",1,2023-01-27,"23/11/2023","12:00:00.000000AM",2023-01-27,"12:00:00.000000AM","03/02/2023"," 8:00:00.000000PM","30/11/2023"," 8:00:00.000000PM",NA,"","","","",NA,"",25,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,3,7,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","",2,NA,2,NA,999,"","",NA,"","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",178,1,2023,"B0811",48,NA
"STAUS-792-1","PERTH","DECOMM","PSTJB","TSCD",161,"90-6M","GR29 DEMOB",223743,"7000","18461","SI0277","SI0277","Stanley GR29",2023,30,"STAUS",792,1,10,"B0811","BUSTR",0,NA,0,0,8,NA,"APAC01",1,2023-02-13,"01/02/2023","12:00:00.000000AM",2023-02-01,"12:00:00.000000AM","22/02/2023","11:59:00.000000PM","22/02/2023","11:59:00.000000PM",NA,"","","","",NA,"",10,"","",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,"N",NA,NA,0,NA,"","","","",1,"N",NA,"Y","N","N","N",1,1,1,1,1,1,1,1,NA,"N",1,"",NA,NA,"AUD",NA,0,0,"N",NA,NA,NA,NA,"","APAC_GR29-STANLEY_PST",2,NA,2,NA,999,"","",NA,"LOSB-26-03","",NA,NA,"TVICAREY","11/05/2023  5:54:20PM",173,2,2023,"B0811",1,"BUSTR-18461"
